file,type,dataset,detected_count,time_ns,first_x,first_y,first_w,first_h
1187019.jpg,Brazil,DS1,1,175172400,2352,1466,632,158
1187019_labelled.jpg,Brazil,DS1,1,158543300,1988,1568,179,45
1792023.jpg,Brazil,DS1,1,136505600,1532,1202,167,42
1792023_labelled.jpg,Brazil,DS1,1,171101100,1532,1202,167,42
2114000.jpg,Brazil,DS1,4,140511200,3507,1339,246,62
2114000_labelled.jpg,Brazil,DS1,3,138448500,3510,1344,243,61
2148000.jpg,Brazil,DS1,0,114133500,0,0,0,0
2148000_labelled.jpg,Brazil,DS1,1,114176000,1470,1992,192,48
2154018.jpg,Brazil,DS1,0,135252600,0,0,0,0
2154018_labelled.jpg,Brazil,DS1,1,138911500,994,1224,243,61
2601032.jpg,Brazil,DS1,2,147019100,1969,1732,243,61
2601032_labelled.jpg,Brazil,DS1,1,110496600,2304,808,267,67
3069000.jpg,Brazil,DS1,1,118139500,1338,851,151,38
3069000_labelled.jpg,Brazil,DS1,1,140938200,1338,851,151,38
398000.jpg,Brazil,DS1,0,151371300,0,0,0,0
398000_labelled.jpg,Brazil,DS1,0,122402700,0,0,0,0
4396025.jpg,Brazil,DS1,1,122998200,186,366,137,34
4396025_labelled.jpg,Brazil,DS1,1,176751000,186,366,137,34
7471000.jpg,Brazil,DS1,1,173378200,1370,1980,317,80
7471000_labelled.jpg,Brazil,DS1,1,154223800,1370,1980,317,80
0003596.jpg,Estonia,DS1,0,26692700,0,0,0,0
0003596_labelled.jpg,Estonia,DS1,0,25445300,0,0,0,0
0011641.jpg,Estonia,DS1,0,30699200,0,0,0,0
0011641_labelled.jpg,Estonia,DS1,0,33287500,0,0,0,0
0012359.jpg,Estonia,DS1,0,35190300,0,0,0,0
0012359_labelled.jpg,Estonia,DS1,0,36954900,0,0,0,0
0016133.jpg,Estonia,DS1,0,60396000,0,0,0,0
0016133_labelled.jpg,Estonia,DS1,0,58558600,0,0,0,0
0019254.jpg,Estonia,DS1,1,44338900,993,1033,147,37
0019254_labelled.jpg,Estonia,DS1,2,39908000,985,326,370,93
0019637.jpg,Estonia,DS1,0,35972000,0,0,0,0
0019637_labelled.jpg,Estonia,DS1,0,32902100,0,0,0,0
0023723.jpg,Estonia,DS1,0,26151500,0,0,0,0
0023723_labelled.jpg,Estonia,DS1,0,31070900,0,0,0,0
0036972.jpg,Estonia,DS1,0,17552200,0,0,0,0
0036972_labelled.jpg,Estonia,DS1,0,15251600,0,0,0,0
0039854.jpg,Estonia,DS1,0,20234100,0,0,0,0
0039854_labelled.jpg,Estonia,DS1,0,20242700,0,0,0,0
0042707.jpg,Estonia,DS1,0,14574800,0,0,0,0
0042707_labelled.jpg,Estonia,DS1,0,16259300,0,0,0,0
0001268.jpg,Finland,DS1,0,12220000,0,0,0,0
0001268_labelled.jpg,Finland,DS1,0,10594500,0,0,0,0
0001281.jpg,Finland,DS1,1,31541100,405,627,244,61
0001281_labelled.jpg,Finland,DS1,1,38921500,464,194,401,100
0003059.jpg,Finland,DS1,0,64173600,0,0,0,0
0003059_labelled.jpg,Finland,DS1,0,59148400,0,0,0,0
0004802.jpg,Finland,DS1,0,30515500,0,0,0,0
